LSOAcode2011,LSOAname2011,LocalAuthorityDistrictcode2013,LocalAuthorityDistrictname2013,IncomeScoreexponentiallytransformed,EmploymentScoreexponentiallytransformed,EducationSkillsandTrainingScoreexponentiallytransformed,HealthDeprivationandDisabilityScoreexponentiallytransformed,CrimeScoreexponentiallytransformed,BarrierstoHousingandServicesScoreexponentiallytransformed,LivingEnvironmentScoreexponentiallytransformed,IMD,V13,fat,saturate,salt,sugar,protein,carb,fibre,alcohol,V22,energy_fat,energy_saturate,energy_sugar,energy_protein,energy_carb,energy_fibre,energy_alcohol,V30,FAC1_1,FAC2_1,FAC3_1
E01000053,Barking and Dagenham 020A,E09000002,Barking and Dagenham,46.287,35.653,29.097,40.776,70.054,53.036,29.905,304.808, ,8.96204000661276,3.44227723590662,.58798524549515,10.0817994709869,5.09600099189953,17.8953876673832,1.4813861795338,.140994999173417, ,80.6583600595153,30.9804951231607,40.3271978839479,20.3840039675981,71.5815506695328,2.81022648371631,.98696499421392, ,-.118103804073032,-.449201567333506,.245537225050636
E01000054,Barking and Dagenham 018A,E09000002,Barking and Dagenham,36.428,25.971,26.892,20.95,68.686,40.497,22.934,242.358, ,10.267211103336,3.82911126661999,.613782750174997,11.2006871938421,5.64402379286203,21.140621880102,1.60232703522275,.11219781992069, ,92.4048999300186,34.4620013995821,44.8027487753685,22.5760951714481,84.5624875204081,2.95911173314671,.785384739444835, ,1.58786230870059,1.22428613005408,-.107691090056056
E01000055,Barking and Dagenham 018B,E09000002,Barking and Dagenham,35.965,30.211,31.169,14.014,57.745,44.244,22.795,236.143, ,9.79198356807537,3.68080566733732,.692185341213994,9.52624329309233,5.45631790744463,19.0743624245468,1.57070254862504,.245436358568075, ,88.1278521126729,33.127251006039,38.1049731723693,21.8252716297785,76.2974496981875,2.91427565392352,1.71805450997652, ,.291141810719031,1.61681929340466,.825237586393287
E01000056,Barking and Dagenham 018C,E09000002,Barking and Dagenham,46.422,39.105,26.325,39.253,63.95,66.668,23.139,304.862, ,8.48561002421009,3.29949669567476,.613607930380195,9.90438120787819,5.38455407969642,18.3198809134331,1.59827455342535,.233134451351174, ,76.3704902178901,29.6954702610755,39.6175248315127,21.5382163187856,73.2795236537324,2.98416933848064,1.63194115945822, ,-.676146749762212,.255586457192495,-.373889714768562
E01000057,Barking and Dagenham 012A,E09000002,Barking and Dagenham,43.303,38.378,33.539,25.586,76.199,45.216,27.287,289.508, ,9.17300738733257,3.52028246710666,.670073163002172,10.6508908510735,5.25836866722034,20.4722922585998,1.63602089434802,.238822463172618, ,82.5570664859881,31.6825422039626,42.603563404294,21.0334746688813,81.8891690343993,3.0697862481969,1.67175724220833, ,.382014461506942,.823112498458692,-.295815731574148
E01000058,Barking and Dagenham 018D,E09000002,Barking and Dagenham,37.244,30.737,26.061,18.959,36.686,48.324,25.113,223.124, ,9.56846647584999,3.8045891949911,.65759015474063,10.7650525223614,5.16715992844349,19.4465069767436,1.54605080500894,.239978481574239, ,86.1161982826445,34.2413027549219,43.0602100894458,20.6686397137739,77.7860279069744,2.88587835420391,1.67984937101967, ,.725993671454911,.621224521932578,.862300450414768
E01000059,Barking and Dagenham 013C,E09000002,Barking and Dagenham,43.046,39.839,27.35,19.847,68.025,47.329,27.181,272.617, ,8.43452250052334,3.19894306844331,.605352996581346,9.95837542733563,5.04316402707025,19.5353289611387,1.63361543291698,.25306227586688, ,75.9107025047104,28.7904876159917,39.8335017093425,20.172656108281,78.1413158445548,3.06505407102481,1.77143593106817, ,-.564645429056172,-.355814955058091,-.761530767464918
E01000060,Barking and Dagenham 006B,E09000002,Barking and Dagenham,45.684,38.17,23.088,32.955,78.641,57.916,18.897,295.351, ,9.52760796984377,3.65940226171234,.535040415724296,11.3931114701132,5.2728799138395,20.4780936995155,1.55428109854603,.220365581044695, ,85.7484717285955,32.9346203554114,45.5724458804529,21.091519655358,81.912374798062,2.83263327948301,1.54255906731287, ,.8940781986372,-.464645462995455,.181085446310263
E01000061,Barking and Dagenham 006C,E09000002,Barking and Dagenham,79.567,57.049,43.99,43.6,39.048,96.812,14.759,374.825, ,9.35741574530425,3.56922339150125,.612705941121626,11.52621686426,5.25502197948583,21.2367417077394,1.65733315572134,.108468436126282, ,84.2167417077403,32.1230105235104,46.1048674570401,21.0200879179433,84.9469668309577,3.1340349007593,.759279052883975, ,1.09222174591346,.286257392900227,-1.08524200794219
E01000062,Barking and Dagenham 006D,E09000002,Barking and Dagenham,33.643,25.021,32.462,19.751,59.403,43.554,15.596,229.43, ,9.47291855371609,3.4136053159105,.657738922711446,10.7338362164972,5.57015071646004,20.7602331279233,1.63516370925824,.222380599896057, ,85.2562669834453,30.722447843196,42.9353448659888,22.2806028658401,83.0409325116934,3.02285544583851,1.5566641992724, ,.454562565285159,1.24180080695547,-.507059140777958
E01000063,Barking and Dagenham 004A,E09000002,Barking and Dagenham,38.076,33.802,36.011,22.538,50.306,41.563,23.294,245.59, ,8.94314015477229,3.48567669819414,.605822979363738,10.7661057609631,4.96612037833193,18.8887609630266,1.50843508168528,.214637537403267, ,80.488261392951,31.3710902837489,43.0644230438526,19.8644815133277,75.5550438521067,2.82706792777299,1.50246276182287, ,.122448669578031,-.525995725857028,.32276483842536
